[10.162000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff74005f10
[10.222000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72005f10
[10.252000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73006010
[10.312000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff05ff00
[10.312000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73006010
[10.313000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff06ff00
[10.372000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f1ff72006010
[10.402000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006010
[10.462000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff07ff00
[10.462000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f5ff73006010
[10.492000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff08ff00
[10.522000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006010
[10.522000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff0aff00
[10.552000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006010
[10.612000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f5ff73006010
[10.672000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73006010
[10.702000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f1ff71006010
[10.762000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73006010
[10.822000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f6ff74006010
[10.852000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006110
[10.912000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561efff71006010
[10.972000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f7ff74006010
[10.972000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff09ff00
[11.002000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f7ff74006010
[11.002000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff08ff00
[11.062000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561efff71006010
[11.062000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff07ff00
[11.092000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006110
[11.122000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff06ff00
[11.152000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f7ff74006110
[11.212000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff72006010
[11.242000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff05ff00
[11.242000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f0ff71006010
[11.302000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f6ff73006110
